ID,SI,Type,WAKEtime_Light,NREMtime_Light,REMtime_Light,WAKEtime_Dark,NREMtime_Dark,REMtime_Dark,WAKEtime_24H,NREMtime_24H,REMtime_24H,WAKE_episode_number_Light,NREM_episode_number_Light,REM_episode_number_Light,WAKE_episode_number_Dark,NREM_episode_number_Dark,REM_episode_number_Dark,WAKE_episode_number_24H,NREM_episode_number_24H,REM_episode_number_24H,WAKE_duration_Light,NREM_duration_Light,REM_duration_Light,WAKE_duration_Dark,NREM_duration_Dark,REM_duration_Dark,WAKE_duration_24H,NREM_duration_24H,REM_duration_24H,Wake_NREM_transtion_Light,NREM_Wake_transtion_Light,NREM_REM_transtion_Light,Wake_NREM_transtion_Dark,NREM_Wake_transtion_Dark,NREM_REM_transtion_Dark,Wake_NREM_transtion_24H,NREM_Wake_transtion_24H,NREM_REM_transtion_24H,NREM Sleep Lantency（min),REM Sleep Lantency（min),MAs_Light,MAs_Dark,MAs_24H,MAs_div_NREM_Light,MAs_div_NREM_Dark,MAs_div_NREM_24H,δ power_NREM_Light,θ power_NREM_Light,δ power_NREM_Dark,θ power_NREM_Dark,δ power_NREM_24H,θ power_NREM_24H
A65,0.44029851,SUS,4.71,6.347,0.944,7.245,4.435,0.318,11.955,10.782,1.262,213,216,41,221,217,17,434,433,58,1.326760563,1.763055556,1.381463415,1.966968326,1.226267281,1.122352941,1.646864445,1.494661418,1.251908178,209,169,41,214,197,16,423,366,57,0,27.16666667,142,160,302,22.37277454,36.07666291,28.00964571,0.52773552,0.34011403,0.724639994,0.41073625,0.609105103,0.370321254
B36,0.480528276,SUS,4.582,6.555,0.866,7.647,4.069,0.283,12.229,10.624,1.149,207,214,43,155,154,18,362,368,61,1.328115942,1.837850467,1.208372093,2.960129032,1.585324675,0.943333333,2.144122487,1.711587571,1.075852713,205,163,42,150,132,17,355,295,59,22.58333333,36.16666667,126,104,230,19.22196796,25.55910543,21.64909639,0.514360516,0.320886451,0.724107761,0.411117541,0.597653073,0.358456416
A59,0.53124394,SUS,4.234,6.802,0.966,7.656,4.063,0.281,11.89,10.865,1.247,241,242,64,195,192,16,436,434,80,1.054107884,1.686446281,0.905625,2.355692308,1.2696875,1.05375,1.704900096,1.47806689,0.9796875,237,177,61,188,171,16,425,348,77,0,32.25,175,132,307,25.72772714,32.48830913,28.25586746,0.520136773,0.320343442,0.788210425,0.415864286,0.622516525,0.3592557
A61,0.70514243,SUS,4.205,7.014,0.783,7.253,4.498,0.252,11.458,11.512,1.035,208,215,43,242,238,19,450,453,62,1.212980769,1.957395349,1.09255814,1.798264463,1.13394958,0.795789474,1.505622616,1.545672464,0.944173807,208,166,43,234,215,19,442,381,62,0,23.5,151,174,325,21.52837183,38.68385949,28.2314107,0.409612481,0.350284932,0.564114991,0.422593645,0.471782932,0.381639898
A60,0.75463027,SUS,4.344,6.748,0.909,7.926,3.882,0.192,12.27,10.63,1.101,266,269,54,157,158,9,423,427,63,0.979849624,1.505130112,1.01,3.029044586,1.474177215,1.28,2.004447105,1.489653663,1.145,263,211,52,153,143,9,416,354,61,0,4.25,185,83,268,27.41553053,21.38073158,25.2116651,0.410503886,0.365809483,0.601765695,0.452290916,0.484734521,0.404595376
A66,0.76855512,SUS,4.277,6.683,1.042,7.177,4.425,0.393,11.454,11.108,1.435,243,250,58,252,249,27,495,499,85,1.056049383,1.60392,1.077931034,1.708809524,1.06626506,0.873333333,1.382429453,1.33509253,0.975632184,241,185,56,246,220,26,487,405,82,28.41666667,34.58333333,195,179,374,29.17851264,40.4519774,33.66942744,0.407047913,0.260505483,0.469612891,0.251250707,0.432198557,0.257101506
B46,0.795241456,SUS,5.534,5.621,0.842,7.786,3.778,0.437,13.32,9.399,1.279,174,173,37,165,164,24,339,337,61,1.908275862,1.949479769,1.365405405,2.831272727,1.382195122,1.0925,2.369774295,1.665837445,1.228952703,170,134,37,159,136,23,329,270,60,0,0.666666667,127,106,233,22.59384451,28.05717311,24.78987126,0.466519289,0.370660356,0.567328724,0.435848714,0.509008573,0.398669585
A58,0.92207961,SUS,4.994,6.198,0.808,7.17,4.47,0.361,12.164,10.668,1.169,213,213,40,235,232,12,448,445,52,1.406760563,1.745915493,1.212,1.830638298,1.156034483,1.805,1.618699431,1.450974988,1.5085,208,169,39,228,217,12,436,386,51,0,9.25,163,171,334,26.29880607,38.25503356,31.30858643,0.623291879,0.353896799,0.763532259,0.422727761,0.683636194,0.383813539
A62,0.93628933,SUS,4.729,6.359,0.916,7.527,4.204,0.266,12.256,10.563,1.182,198,196,54,184,179,16,382,375,70,1.433030303,1.946632653,1.017777778,2.454456522,1.409162011,0.9975,1.943743412,1.677897332,1.007638889,192,140,53,177,162,15,369,302,68,0,3.5,130,116,246,20.44346595,27.59276879,23.2888384,0.470204923,0.37103967,0.647833646,0.436436279,0.542114829,0.399526344
A63,1.02167787,RES,4.775,6.363,0.865,7.524,4.177,0.298,12.299,10.54,1.163,269,268,58,237,235,21,506,503,79,1.065055762,1.424552239,0.894827586,1.904810127,1.066468085,0.851428571,1.484932944,1.245510162,0.873128079,264,206,58,230,210,21,494,416,79,0,0.416666667,187,152,339,29.38865315,36.38975341,32.16318786,0.503678801,0.309463786,0.667101764,0.352949399,0.569279579,0.327745672
A57,1.06527073,RES,4.702,6.326,0.97,7.577,4.107,0.315,12.279,10.433,1.285,194,195,56,205,199,18,399,394,74,1.454226804,1.946461538,1.039285714,2.217658537,1.238291457,1.05,1.83594267,1.592376498,1.044642857,190,136,54,197,180,17,387,316,71,0,6.083333333,136,135,271,21.4985773,32.87070855,25.97527078,0.553373564,0.299957396,0.733166429,0.355031339,0.626256744,0.323539967
B43,1.076,RES,5.465,5.778,0.76,8.271,3.469,0.259,13.736,9.247,1.019,219,221,50,161,155,19,380,376,69,1.497260274,1.568687783,0.912,3.082360248,1.34283871,0.817894737,2.289810261,1.455763246,0.864947368,214,164,50,153,135,18,367,299,68,16.08333333,29.41666667,132,104,236,22.84527518,29.97982127,25.52179085,0.523904357,0.321439542,0.723683067,0.417659582,0.603262432,0.361035657
A67,1.08771198,RES,4.776,6.345,0.879,6.915,4.584,0.501,11.691,10.929,1.38,220,223,47,313,314,29,533,537,76,1.302545455,1.707174888,1.12212766,1.325559105,0.875923567,1.036551724,1.31405228,1.291549227,1.079339692,216,170,47,309,280,29,525,450,76,0,1.666666667,143,231,374,22.53743105,50.39267016,34.22088023,0.352333022,0.22360435,0.597609553,0.403414247,0.55213308,0.360199212
B40,1.356340903,RES,4.298,6.947,0.753,7.653,4.031,0.314,11.951,10.978,1.067,185,184,42,129,131,19,314,315,61,1.393945946,2.265326087,1.075714286,3.559534884,1.846259542,0.991578947,2.476740415,2.055792814,1.033646617,179,137,42,124,106,19,303,243,61,0,26.75,119,79,198,17.12969627,19.59811461,18.03607214,0.549536182,0.322257938,0.823638699,0.437036296,0.654784593,0.368785191
B38,1.655172414,RES,4.226,6.713,1.065,8.42,3.373,0.205,12.646,10.086,1.27,152,158,54,109,107,11,261,265,65,1.668157895,2.549240506,1.183333333,4.634862385,1.891401869,1.118181818,3.15151014,2.220321188,1.150757576,149,95,54,102,92,11,251,187,65,0,21.91666667,80,65,145,11.91717563,19.27067892,14.37636328,0.482424265,0.288591915,0.630889555,0.350400038,0.539631224,0.314414072
B45,1.869463415,RES,4.387,6.711,0.903,6.875,4.802,0.321,11.262,11.513,1.224,162,165,50,172,165,20,334,330,70,1.624814815,2.440363636,1.0836,2.398255814,1.746181818,0.963,2.011535314,2.093272727,1.0233,159,110,50,163,142,20,322,252,70,0,0.25,103,93,196,15.34793622,19.36693045,17.02423348,0.614388993,0.282187087,0.689664003,0.350575731,0.64926235,0.311606862
